64;P;1041758;1
64;P;1041753;2
64;P;1041754;3
64;P;1041745;4
64;P;1041746;5
64;P;1041747;6
64;P;1041748;7
64;P;1041749;8
64;P;1041750;9
64;P;1041751;10
64;P;1041752;11
64;P;1041755;12
64;P;1041756;13
64;P;1041757;14
64;P;1041743;15
64;P;1041744;16
64;P;1041879;17
64;P;1041880;18
64;P;1041881;19
64;P;1041882;20
64;P;1041883;21
64;P;1041884;22
64;P;1041885;23
64;P;1041876;24
64;P;1041877;25
64;P;1041878;26
64;P;1041886;27
64;P;1041887;28
64;P;1041888;29
64;P;1041889;30
64;P;1041890;31
64;P;1041891;32
64;P;1041892;33
64;P;1041893;34
65;P;1042018;1
65;P;1042017;2
65;P;1042076;3
65;P;1042077;4
65;P;1042078;5
65;P;1042079;6
65;P;1042080;7
65;P;1042016;8
65;P;1042020;9
65;P;1042019;10
65;P;1042015;11
65;P;1041925;12
65;P;1041907;13
65;P;1041908;14
65;P;1041913;15
65;P;1041894;16
65;P;1041895;17
65;P;1041896;18
65;P;1041897;19
65;P;1041898;20
65;P;1041899;21
65;P;1041900;22
65;P;1041917;23
65;P;1041920;24
65;P;1041922;25
65;P;1041924;26
65;P;1042021;27
65;P;1042022;28
65;P;1042023;29
65;P;1042024;30
65;P;1042025;31
65;P;1042074;32
65;P;1042075;33
65;P;1042100;34
65;P;1042101;35
65;P;1042102;36
65;P;1042103;37
66;P;1042210;1
66;P;1042211;2
66;P;1042212;3
66;P;1042677;4
66;P;1042678;5
66;P;1042675;6
66;P;1042209;7
66;P;1042205;8
66;P;1042208;9
66;P;1042112;10
66;P;1042113;11
66;P;1042114;12
66;P;1042115;13
66;P;1042116;14
66;P;1042117;15
66;P;1042118;16
66;P;1042119;17
66;P;1042206;18
66;P;1042207;19
66;P;1042109;20
66;P;1042110;21
66;P;1042111;22
66;P;1042213;23
66;P;1042214;24
66;P;1042215;25
66;P;1042216;26
66;P;1042676;27
66;P;1042679;28
67;P;1042692;1
67;P;1042691;2
67;P;1042693;3
67;P;1042706;4
67;P;1042709;5
67;P;1042715;6
67;P;1042688;7
67;P;1042681;8
67;P;1042682;9
67;P;1042683;10
67;P;1042684;11
67;P;1042685;12
67;P;1042686;13
67;P;1042687;14
67;P;1042690;15
67;P;1042680;16
67;P;1042689;17
67;P;1042712;18
67;P;1042713;19
67;P;1042714;20
67;P;1042717;21
67;P;1042718;22
67;P;1042719;23
67;P;1042720;24
67;P;1042721;25
67;P;1042710;26
68;P;1042741;1
68;P;1042743;2
68;P;1042744;3
68;P;1042765;4
68;P;1042763;5
68;P;1042760;6
68;P;1042726;7
68;P;1042728;8
68;P;1042729;9
68;P;1042730;10
68;P;1042733;11
68;P;1042735;12
68;P;1042722;13
68;P;1042723;14
68;P;1042724;15
68;P;1042736;16
68;P;1042738;17
68;P;1042747;18
68;P;1042749;19
68;P;1042752;20
68;P;1042756;21
68;P;1042770;22
69;P;1042814;1
69;P;1042819;2
69;P;1042820;3
69;P;1042821;4
69;P;1042822;5
69;P;1042799;6
69;P;1042803;7
69;P;1042812;8
69;P;1042781;9
69;P;1042783;10
69;P;1042785;11
69;P;1042787;12
69;P;1042789;13
69;P;1042790;14
69;P;1042792;15
69;P;1042797;16
69;P;1042813;17
69;P;1042807;18
69;P;1042818;19
69;P;1042815;20
69;P;1042816;21
69;P;1042817;22
69;P;1042823;23
70;P;1042865;1
70;P;1042866;2
70;P;1042876;3
70;P;1042874;4
70;P;1042875;5
70;P;1042867;6
70;P;1042868;7
70;P;1042869;8
70;P;1042862;9
70;P;1042854;10
70;P;1042855;11
70;P;1042856;12
70;P;1042857;13
70;P;1042858;14
70;P;1042859;15
70;P;1042860;16
70;P;1042861;17
70;P;1042863;18
70;P;1042824;19
70;P;1042825;20
70;P;1042826;21
70;P;1042828;22
70;P;1042829;23
70;P;1042830;24
70;P;1042864;25
70;P;1042870;26
70;P;1042871;27
70;P;1042872;28
70;P;1042873;29
70;P;1042877;30
70;P;1042878;31
70;P;1042879;32
71;P;1043095;1
71;P;1043096;2
71;P;1043099;3
71;P;1043097;4
71;P;1043098;5
71;P;1043100;6
71;P;1043145;7
71;P;1043146;8
71;P;1043147;9
71;P;1043101;10
71;P;1043102;11
71;P;1043063;12
71;P;1043064;13
71;P;1043047;14
71;P;1043048;15
71;P;1043049;16
71;P;1043050;17
71;P;1043051;18
71;P;1043052;19
71;P;1043053;20
71;P;1043054;21
71;P;1043094;22
71;P;1042982;23
71;P;1042983;24
71;P;1042985;25
71;P;1042986;26
71;P;1042987;27
71;P;1042988;28
71;P;1042990;29
71;P;1042991;30
71;P;1042993;31
71;P;1042995;32
71;P;1042997;33
71;P;1042999;34
71;P;1043000;35
71;P;1043002;36
71;P;1043004;37
71;P;1043093;38
71;P;1043140;39
71;P;1043143;40
71;P;1043144;41
71;P;1043103;42
71;P;1043150;43
72;P;1043171;1
72;P;1043172;2
72;P;1043175;3
72;P;1043192;4
72;P;1043155;5
72;P;1043158;6
72;P;1043161;7
72;P;1043163;8
72;P;1043165;9
72;P;1043167;10
72;P;1043169;11
72;P;1043183;12
72;P;1043186;13
72;P;1043189;14
72;P;1043176;15
72;P;1043177;16
72;P;1043193;17
72;P;1043194;18
73;P;1043201;1
73;P;1043202;2
73;P;1043207;3
73;P;1043213;4
73;P;1043215;5
73;P;1043216;6
73;P;1043232;7
73;P;1043233;8
73;P;1043234;9
73;P;1043203;10
73;P;1043204;11
73;P;1043205;12
73;P;1043197;13
73;P;1043198;14
73;P;1043199;15
73;P;1043200;16
73;P;1043195;17
73;P;1043196;18
73;P;1043206;19
73;P;1043212;20
73;P;1043208;21
73;P;1043209;22
73;P;1043210;23
73;P;1043211;24
73;P;1043235;25
73;P;1043236;26
73;P;1043237;27
73;P;1043238;28
74;P;1043256;1
74;P;1043254;2
74;P;1043255;3
74;P;1043257;4
74;P;1043258;5
74;P;1043259;6
74;P;1043260;7
74;P;1043261;8
74;P;1043262;9
74;P;1043263;10
74;P;1043264;11
74;P;1043268;12
74;P;1043247;13
74;P;1043248;14
74;P;1043250;15
74;P;1043239;16
74;P;1043240;17
74;P;1043241;18
74;P;1043242;19
74;P;1043243;20
74;P;1043244;21
74;P;1043245;22
74;P;1043246;23
74;P;1043249;24
74;P;1043253;25
74;P;1043251;26
74;P;1043252;27
74;P;1043265;28
74;P;1043266;29
74;P;1043267;30
76;P;1043336;1
76;P;1043337;2
76;P;1043342;3
76;P;1043343;4
76;P;1043346;5
76;P;1043347;6
76;P;1043348;7
76;P;1043349;8
76;P;1043338;9
76;P;1043339;10
76;P;1043340;11
76;P;1043341;12
76;P;1043333;13
76;P;1043334;14
76;P;1043326;15
76;P;1043327;16
76;P;1043328;17
76;P;1043329;18
76;P;1043330;19
76;P;1043331;20
76;P;1043332;21
76;P;1043325;22
76;P;1043335;23
76;P;1043344;24
76;P;1043345;25
76;P;1043354;26
76;P;1043355;27
77;P;1043395;1
77;P;1043394;2
77;P;1043398;3
77;P;1043397;4
77;P;1043389;5
77;P;1043378;6
77;P;1043379;7
77;P;1043380;8
77;P;1043381;9
77;P;1043382;10
77;P;1043383;11
77;P;1043384;12
77;P;1043385;13
77;P;1043386;14
77;P;1043387;15
77;P;1043388;16
77;P;1043390;17
77;P;1043391;18
77;P;1043375;19
77;P;1043376;20
77;P;1043377;21
77;P;1043392;22
77;P;1043393;23
77;P;1043396;24
77;P;1043399;25
77;P;1043400;26
77;P;1043401;27
77;P;1043371;28
77;P;1043372;29
78;P;1043474;1
78;P;1043494;2
78;P;1043487;3
78;P;1043479;4
78;P;1043482;5
78;P;1043484;6
78;P;1043485;7
78;P;1043473;8
78;P;1043402;9
78;P;1043403;10
78;P;1043404;11
78;P;1043405;12
78;P;1043406;13
78;P;1043407;14
78;P;1043461;15
78;P;1043463;16
78;P;1043464;17
78;P;1043467;18
78;P;1043468;19
78;P;1043469;20
78;P;1043472;21
78;P;1043492;22
78;P;1043496;23
78;P;1043495;24
78;P;1043497;25
78;P;1043498;26
78;P;1043499;27
79;P;1043518;1
79;P;1043521;2
79;P;1043512;3
79;P;1043619;4
79;P;1043620;5
79;P;1043618;6
79;P;1043617;7
79;P;1043510;8
79;P;1043501;9
79;P;1043502;10
79;P;1043503;11
79;P;1043504;12
79;P;1043505;13
79;P;1043506;14
79;P;1043509;15
79;P;1043507;16
79;P;1043500;17
79;P;1043511;18
79;P;1043508;19
79;P;1043616;20
79;P;1043615;21
79;P;1043621;22
80;P;1043739;1
80;P;1043740;2
80;P;1043741;3
80;P;1043742;4
80;P;1045882;5
80;P;1045983;6
80;P;1045984;7
80;P;1045985;8
80;P;1045986;9
80;P;1045987;10
80;P;1045988;11
80;P;1045989;12
80;P;1043630;13
80;P;1043631;14
80;P;1043624;15
80;P;1043625;16
80;P;1043626;17
80;P;1043627;18
80;P;1043628;19
80;P;1043629;20
80;P;1043622;21
80;P;1043623;22
80;P;1043733;23
80;P;1043736;24
80;P;1043738;25
80;P;1043729;26
80;P;1043730;27
80;P;1045981;28
80;P;1045982;29
80;P;1045979;30
80;P;1045980;31
80;P;1045990;32
80;P;1045991;33
80;P;1045992;34
80;P;1045993;35
81;P;1046003;1
81;P;1046122;2
81;P;1046116;3
81;P;1046117;4
81;P;1046112;5
81;P;1046113;6
81;P;1046118;7
81;P;1046119;8
81;P;1046120;9
81;P;1046121;10
81;P;1045997;11
81;P;1045999;12
81;P;1046000;13
81;P;1046001;14
81;P;1045994;15
81;P;1045995;16
81;P;1045996;17
81;P;1045998;18
81;P;1046002;19
81;P;1046114;20
81;P;1046115;21
81;P;1046123;22
81;P;1046124;23
82;P;1046133;1
82;P;1046132;2
82;P;1046136;3
82;P;1046134;4
82;P;1046131;5
82;P;1046126;6
82;P;1046127;7
82;P;1046128;8
82;P;1046129;9
82;P;1046137;10
82;P;1046125;11
82;P;1046130;12
82;P;1046145;13
82;P;1046146;14
82;P;1046147;15
82;P;1046135;16
82;P;1046148;17
82;P;1046149;18
82;P;1046150;19
82;P;1046151;20
83;P;1046171;1
83;P;1046179;2
83;P;1046182;3
83;P;1046184;4
83;P;1046185;5
83;P;1046160;6
83;P;1046161;7
83;P;1046162;8
83;P;1046164;9
83;P;1046165;10
83;P;1046153;11
83;P;1046155;12
83;P;1046157;13
83;P;1046166;14
83;P;1046167;15
83;P;1046169;16
83;P;1046180;17
83;P;1046181;18
83;P;1046251;19
83;P;1046252;20
83;P;1046173;21
83;P;1046174;22
83;P;1046176;23
83;P;1046253;24
83;P;1046254;25
85;P;1041476;1
85;P;1041484;2
85;P;1041485;3
85;P;1041486;4
85;P;1041487;5
85;P;1041488;6
85;P;1041489;7
85;P;1041482;8
85;P;1041483;9
85;P;1041477;10
85;P;1041475;11
85;P;1041456;12
85;P;1041457;13
85;P;1041458;14
85;P;1041459;15
85;P;1041454;16
85;P;1041480;17
85;P;1041481;18
85;P;1041478;19
85;P;1041479;20
86;P;1041502;1
86;P;1041504;2
86;P;1041507;3
86;P;1041508;4
86;P;1041509;5
86;P;1041506;6
86;P;1041501;7
86;P;1041492;8
86;P;1041493;9
86;P;1041494;10
86;P;1041495;11
86;P;1041496;12
86;P;1041497;13
86;P;1041498;14
86;P;1041499;15
86;P;1041500;16
86;P;1041490;17
86;P;1041491;18
86;P;1041505;19
86;P;1041503;20
86;P;1041510;21
86;P;1041511;22
86;P;1041512;23
87;P;1041643;1
87;P;1041645;2
87;P;1041649;3
87;P;1041644;4
87;P;1041638;5
87;P;1041618;6
87;P;1041619;7
87;P;1041620;8
87;P;1041621;9
87;P;1041622;10
87;P;1041623;11
87;P;1041624;12
87;P;1041625;13
87;P;1041627;14
87;P;1041628;15
87;P;1041629;16
87;P;1041633;17
87;P;1041634;18
87;P;1041635;19
87;P;1041636;20
87;P;1041637;21
87;P;1041639;22
87;P;1041640;23
87;P;1041641;24
87;P;1041608;25
87;P;1041609;26
87;P;1041610;27
87;P;1041611;28
87;P;1041612;29
87;P;1041613;30
87;P;1041614;31
87;P;1041615;32
87;P;1041616;33
87;P;1041617;34
87;P;1041642;35
87;P;1041647;36
87;P;1041648;37
87;P;1041646;38
102;P;1041678;1
102;P;1041711;2
102;P;1041713;3
102;P;1041715;4
102;P;1041701;5
102;P;1041702;6
102;P;1041703;7
102;P;1041697;8
102;P;1041681;9
102;P;1041683;10
102;P;1041695;11
102;P;1041696;12
102;P;1041674;13
102;P;1041658;14
102;P;1041660;15
102;P;1041663;16
102;P;1041665;17
102;P;1041667;18
102;P;1041669;19
102;P;1041670;20
102;P;1041717;21
102;P;1041698;22
102;P;1041699;23
102;P;1041700;24
102;P;1041722;25
102;P;1041723;26
102;P;1041725;27
102;P;1041727;28
103;P;1040167;1
103;P;1040169;2
103;P;1040192;3
103;P;1040193;4
103;P;1040198;5
103;P;1040199;6
103;P;1040200;7
103;P;1040178;8
103;P;1040180;9
103;P;1040181;10
103;P;1040183;11
103;P;1040201;12
103;P;1040202;13
103;P;1040203;14
103;P;1040204;15
103;P;1040205;16
103;P;1040206;17
103;P;1040189;18
103;P;1040190;19
103;P;1040191;20
103;P;1040158;21
103;P;1040161;22
103;P;1040141;23
103;P;1040143;24
103;P;1040145;25
103;P;1040146;26
103;P;1040148;27
103;P;1040149;28
103;P;1040150;29
103;P;1040166;30
103;P;1040163;31
103;P;1040164;32
103;P;1040165;33
103;P;1040194;34
103;P;1040195;35
103;P;1040196;36
103;P;1040197;37
103;P;1040171;38
103;P;1040175;39
103;P;1040207;40
103;P;1040208;41
103;P;1040209;42
104;P;1040256;1
104;P;1040260;2
104;P;1040261;3
104;P;1040262;4
104;P;1040263;5
104;P;1040264;6
104;P;1040265;7
104;P;1040257;8
104;P;1040258;9
104;P;1040259;10
104;P;1040254;11
104;P;1040255;12
104;P;1040243;13
104;P;1040244;14
104;P;1040245;15
104;P;1040246;16
104;P;1040248;17
104;P;1040249;18
104;P;1040232;19
104;P;1040233;20
104;P;1040234;21
104;P;1040235;22
104;P;1040236;23
104;P;1040237;24
104;P;1040238;25
104;P;1040266;26
104;P;1040268;27
104;P;1040269;28
104;P;1040267;29
104;P;1040270;30
105;P;1040286;1
105;P;1040287;2
105;P;1040291;3
105;P;1040283;4
105;P;1040284;5
105;P;1040285;6
105;P;1040274;7
105;P;1040275;8
105;P;1040276;9
105;P;1040277;10
105;P;1040278;11
105;P;1040279;12
105;P;1040280;13
105;P;1040281;14
105;P;1040282;15
105;P;1040271;16
105;P;1040272;17
105;P;1040273;18
105;P;1040290;19
105;P;1040292;20
105;P;1040293;21
105;P;1040294;22
105;P;1040288;23
105;P;1040289;24
105;P;1040295;25
105;P;1040296;26
105;P;1040297;27
105;P;1040298;28
106;P;1040308;1
106;P;1040310;2
106;P;1040311;3
106;P;1040312;4
106;P;1040313;5
106;P;1040314;6
106;P;1040315;7
106;P;1040384;8
106;P;1040385;9
106;P;1040305;10
106;P;1040300;11
106;P;1040301;12
106;P;1040302;13
106;P;1040303;14
106;P;1040304;15
106;P;1040306;16
106;P;1040307;17
106;P;1040299;18
106;P;1040309;19
106;P;1040386;20
106;P;1040387;21
106;P;1040388;22
106;P;1040389;23
106;P;1040390;24
106;P;1040391;25
106;P;1040392;26
106;P;1040393;27
107;P;1040413;1
107;P;1040414;2
107;P;1040415;3
107;P;1040416;4
107;P;1040417;5
107;P;1040418;6
107;P;1040419;7
107;P;1040420;8
107;P;1040409;9
107;P;1040410;10
107;P;1040403;11
107;P;1040404;12
107;P;1040405;13
107;P;1040406;14
107;P;1040407;15
107;P;1040396;16
107;P;1040397;17
107;P;1040398;18
107;P;1040399;19
107;P;1040400;20
107;P;1040401;21
107;P;1040402;22
107;P;1040394;23
107;P;1040395;24
107;P;1040408;25
107;P;1040412;26
107;P;1040411;27
107;P;1040421;28
107;P;1040422;29
107;P;1040423;30
107;P;1040424;31
107;P;1040425;32
110;P;1040509;1
110;P;1040510;2
110;P;1040511;3
